#Powered_by_ParaTranz
MIL_FROM_TROOPS;Army soldiers
RULE_POP_OPEN_FACTORY_INVEST;Investors can reopen overseas factories
PRODUCTION_OUR_INVEST;Our investment: $AMOUNT$ ($PERCENTAGE$ %)
MSG_FILTER_HEADER;Message Filter Settings
MSG_FILTER_TITLE;We focus on:
MSG_FILTER_DESELECT;Deselect all
MSG_FILTER_BEST_GUESS;Auto-set
MSG_FILTER_ENEMIES;Enemy nations
MSG_FILTER_ALLIES;Allies
MSG_FILTER_NEIGHBOURS;Neighbors
MSG_FILTER_SPHERE;Sphere of Influence
PRODUCTION_BROWSE_INVEST;Other
DIPLOMACY_OPINION_INVESTMENT;?Y$GP_ADJ$?W Investment:?Y$VALUE$?!
MSG_FILTER_TOOLTIP_HEADER;In the message filter settings window, you can choose which nations you focus on. Only messages from these important nations will be displayed.
MSG_FILTER_TOOLTIP_DELAYED;?Y Left-click?! to replace current selection.\n?Y Right-click?! to add to current selection\n?Y Left-click + SHIFT?! to replace filter
MSG_FILTER_TOOLTIP_DESELECT;Deselect all nations in the list
MSG_FILTER_TOOLTIP_BESTGUESS;Auto-select nations
MSG_FILTER_TOOLTIP_ENEMIES;Select enemy nations
MSG_FILTER_TOOLTIP_ALLIES;Select allies
MSG_FILTER_TOOLTIP_NEIGHBOURS;Select neighbors
MSG_FILTER_TOOLTIP_SPHERE;Select nations within your sphere of influence (if you are a Great Power)
MSG_FILTER_TOOLTIP_CONTINENT;Select nations with provinces on this continent
PRODUCTION_NOT_DESTROY_FACTORY_BECAUSE_FOREIGN_TOOLTIP;We do not have the right to do this in foreign nations
INVESTMENT_PENALTY_FACTOR;Other domestic investors
SPHERE_SHARE_NOT_IN_SPHERE;Not in sphere of influence, so can freely participate in the world market
SPHERE_SHARE_UNCIV;Uncivilized nations?Y$PERCENTAGE$%?! resource output will be placed in their leader's market
SPHERE_SHARE_2NDRANK;Secondary Power?Y$PERCENTAGE$%?! resource output goes to their leader's market (base:?Y$BASE_PERCENTAGE$%?!
SPHERE_SHARE_CIV;Civilized nations?Y$PERCENTAGE$%?! resource output goes to their leader's market (base:?Y$BASE_PERCENTAGE$%?!
RULE_ALLOW_FOREIGN_INVESTMENT;Allow foreign investment
POLITICS_DECISIONS_TAB;Decisions
POLITICS_MOVEMENTS_TAB;Movements
EVTNAME90100;Yearning for Freedom of the Press
EVTNAME90102;Yearning for Freedom of Assembly
EVTNAME90104;Yearning to Form Trade Unions
EVTDESC90100;The people yearn for freedom of the press, and reforms in neighboring nations have intensified their desire.
EVTOPTA90100;Perhaps we can do something
EVTOPTB90100;Never!
EVTDESC90102;The people yearn for freedom of assembly, and reforms in neighboring nations have intensified their desire.
EVTDESC90104;The people yearn to form trade unions, and reforms in neighboring nations have intensified their desire.
EVTNAME90101;Broken Promise
EVTDESC90101;Although we promised to reform the press system, we have taken no action. The people are deeply disappointed.
EVTOPTA90101;Discouraging
EVTDESC90103;Although we promised freedom of public assembly, we have taken no action. The people are deeply disappointed.
EVTOPTA90103;I hate crowds
EVTDESC90105;Although we promised freedom to form trade unions, we have taken no action. The people are deeply disappointed.
EVTOPTA90105;Better dead than Red!
MOVEMENT_RADICALISM_BASE;Base value:?R$VAL$?!
MOVEMENT_RADICALISM_ACCUMULATED;Suppression:?R$VAL$?!
MOVEMENT_RADICALISM_GRANTED_REFORMS;Reforms:?G$VAL$?!
MOVEMENT_RADICALISM_CULTURE;$CULTURE$: $VAL$
ALREADY_SUPPRESSED;The movement is not radical and cannot be suppressed
EVTNAME90900;Celestial Empire
EVTDESC90900;We have become advanced enough that those European barbarians acknowledge us as a so-called "civilized nation." They must respect the unity and sovereignty of the Celestial Empire and cease their influence over China.
EVTOPTA90900;China United Once More
EVTDESC90901;The progress of the Qing Dynasty leads them to demand our recognition of their authority. Acceptance would mean the end of our independent status.
EVTOPTA90901;China United Once More
EVTOPTA90910;Avenge the West
SUPPRESSION_POINTS;Suppression points
school_reforms;School System
no_schools;No School System
low_schools;Basic School System
acceptable_schools;Acceptable School System
good_schools;Good School System
no_schools_l;No School System
low_schools_l;Basic School System
acceptable_schools_l;Acceptable School System
good_schools_l;Good School System
no_schools_desc;No public schools.
low_schools_desc;Public schools are not widespread.
acceptable_schools_desc;Public schools are widespread.
good_schools_desc;Public schools are found throughout the country.
NATIONALIST_UNION_MOVEMENT;$COUNTRY_ADJ$ Unification Movement
NATIONALIST_LIBERATION_MOVEMENT;$COUNTRY$ Liberation Movement
SUPRESSION_MONTHLY_GAIN;Monthly gain:?G$VAL$?!
MODIFIER_EDUCATION_EFFICIENCY;Education Efficiency
MODIFIER_SUPPRESSION_POINT_GAIN;Suppression point gain
NOT_SOCIAL_MOVEMENT_STRENGTH_TR;Social movement strength below?Y$VAL$?W\n
SOCIAL_MOVEMENT_STRENGTH_TR;Social movement strength above?Y$VAL$?W\n
NOT_POLITICAL_MOVEMENT_STRENGTH_TR;Political movement strength below?Y$VAL$?W\n
POLITICAL_MOVEMENT_STRENGTH_TR;Political movement strength above?Y$VAL$?W\n
SUPPRESS;Suppress
SUPPRESSION_DESC;Suppress this movement. This will consume $VAL$ suppression points and may make the movement more radical in the future (?R+$HIT$?!.
CANT_SUPPRESS_DESC;We need more suppression points. Current?R$VAL$?! We need?Y$NEED$?!
REFORM_MOVEMENT_DESC;Movement calls for the adoption of?Y$REFORM$?!
NATIONALIST_UNION_MOVEMENT_DESC;Movement calls for the establishment of?Y$COUNTRY$?!
NATIONALIST_LIBERATION_MOVEMENT_DESC;Movement calls for the liberation of?Y$COUNTRY$?!
SUPPRESSION_LABEL_DESC;Suppression points measure your government's ability to suppress mass movements
MOVEMENT_REFORM_SUPPORT;$VAL$ people participate in the mass movement lobbying for this reform.
movement_no_slavery;Abolitionist Movement
movement_yes_slavery;Slavery Movement
movement_landed_voting;Voting Rights Movement
movement_wealth_weighted_voting;Voting Rights Movement
movement_wealth_voting;Voting Rights Movement
movement_universal_weighted_voting;Voting Rights Movement
movement_universal_voting;Voting Rights Movement
movement_party_appointed;Political Protest Movement
movement_appointed;Political Protest Movement
movement_state_equal_weight;Political Protest Movement
movement_population_equal_weight;Political Protest Movement
movement_first_past_the_post;Political Protest Movement
movement_jefferson_method;Political Protest Movement
movement_proportional_representation;Political Protest Movement
movement_no_meeting;Ban Public Assembly Movement
movement_yes_meeting;Freedom of Assembly Movement
movement_censored_press;Press Censorship Movement
movement_free_press;Freedom of the Press Movement
movement_state_controlled;State-Controlled Trade Union Movement
movement_non_socialist;Non-Socialist Trade Union Movement
movement_all_trade_unions;Free Trade Union Formation Movement
movement_harassment;Voter Rights Movement
movement_gerrymandering;Voter Rights Movement
movement_non_secret_ballots;Voter Rights Movement
movement_secret_ballots;Voter Rights Movement
movement_trinket_wage;Minimum Wage Movement
movement_low_minimum_wage;Minimum Wage Movement
movement_acceptable_minimum_wage;Minimum Wage Movement
movement_good_minimum_wage;Minimum Wage Movement
movement_fourteen_hours;Maximum Hours Movement
movement_twelve_hours;Maximum Hours Movement
movement_ten_hours;Maximum Hours Movement
movement_eight_hours;Maximum Hours Movement
movement_trinket_safety;Safe Working Conditions Movement
movement_low_safety;Safe Working Conditions Movement
movement_acceptable_safety;Safe Working Conditions Movement
movement_good_safety;Safe Working Conditions Movement
movement_trinket_subsidies;Unemployment Protection Movement
movement_low_subsidies;Unemployment Protection Movement
movement_acceptable_subsidies;Unemployment Protection Movement
movement_good_subsidies;Unemployment Protection Movement
movement_trinket_pensions;Pension Protection Movement
movement_low_pensions;Pension Protection Movement
movement_acceptable_pensions;Pension Protection Movement
movement_good_pensions;Pension Protection Movement
movement_trinket_health_care;Healthcare Movement
movement_low_health_care;Healthcare Movement
movement_acceptable_health_care;Healthcare Movement
movement_good_health_care;Healthcare Movement
movement_low_schools;Public School Movement
movement_acceptable_schools;Public School Movement
movement_good_schools;Public School Movement
POLITICS_MOVEMENTS;Movements
POLITICS_ECONOMIC_REFORMS;Economic Reforms
POLITICS_MILITARY_REFORMS;Military Reforms
NORMAL_CIVIL_WAR_NAME_USA_CSA_CSA;$ORDER$ Northern Aggression War
NORMAL_CIVIL_WAR_NAME_USA_CSA_USA;$ORDER$ Insurrection War
NORMAL_WAR_GUNBOAT_NAME;$ORDER$$FIRST$ Intervention in $SECOND$
NORMAL_WAR_GUNBOAT_NAME_FRA_MEX;$ORDER$ Pastry War
NORMAL_WAR_TAKE_NAME_USA_MEX_USA;$ORDER$ Mexican-American War
NORMAL_WAR_TAKE_NAME_USA_MEX_MEX;$ORDER$ American Invasion of Mexico
NORMAL_WAR_TAKE_CORE_NAME_USA_MEX_USA;$ORDER$ Mexican-American War
NORMAL_WAR_TAKE_CORE_NAME_USA_MEX_MEX;$ORDER$ American Invasion of Mexico
NORMAL_WAR_GUNBOAT_NAME_ENG_CHI;$ORDER$ Opium War
NORMAL_WAR_ADD_SPHERE_NAME_ENG_CHI;$ORDER$ Opium War
NORMAL_WAR_INDEPENDENCE_NAME;$ORDER$$FIRST$ Independence War
NORMAL_WAR_TAKE_NAME_CHL_PEU;$ORDER$ War of Saltpeter
NORMAL_WAR_TAKE_CORE_NAME_CHL_PEU;$ORDER$ War of Saltpeter
NORMAL_WAR_TAKE_NAME_CHL_BOL;$ORDER$ War of Saltpeter
NORMAL_WAR_TAKE_CORE_NAME_CHL_BOL;$ORDER$ War of Saltpeter
NORMAL_WAR_CONQUEST_NAME_ENG_TRN;$ORDER$ Boer War
NORMAL_WAR_CONQUEST_NAME_ENG_ORA;$ORDER$ Boer War
NORMAL_WAR_TAKE_NAME_ENG_TRN;$ORDER$ Boer War
NORMAL_WAR_TAKE_NAME_ENG_ORA;$ORDER$ Boer War
NORMAL_WAR_TAKE_NAME_ORA_ENG;$ORDER$ Boer War
NORMAL_WAR_TAKE_NAME_TRN_ENG;$ORDER$ Boer War
NORMAL_WAR_PUPPET_NAME_ENG_TRN;$ORDER$ Boer War
NORMAL_WAR_PUPPET_NAME_ENG_ORA;$ORDER$ Boer War
NORMAL_WAR_PUPPET_NAME;$ORDER$$FIRST$ War to Control $SECOND$
NORMAL_WAR_BOXER_NAME;$ORDER$ Boxer Rebellion
NORMAL_WAR_PUPPET_NAME_ENG_USA;$ORDER$ American War of Independence
NORMAL_WAR_NAME_ENG_USA;$ORDER$ Anglo-American War
NORMAL_WAR_TAKE_NAME_ENG_USA;$ORDER$ Anglo-American War
NORMAL_WAR_TAKE_CORE_NAME_ENG_USA;$ORDER$ Anglo-American War
NORMAL_WAR_CONQUEST_NAME_ENG_USA;$ORDER$ American War of Independence
NORMAL_WAR_HUMILIATE_NAME;$ORDER$$FIRST$-$SECOND$ War of Honor
NORMAL_WAR_UNIFICATION_NAME_PRU_FRA;$ORDER$ Franco-Prussian War
NORMAL_WAR_UNIFICATION_NAME_NGF_FRA;$ORDER$ German-French War
CAN_INVEST_IN_RAILROADS;Allow investment in railways
land_reform;Land Reform
land_reform_l;Land Reform
no_land_reform;No Land Reform
yes_land_reform;Land Reform
no_land_reform_desc;No land reform
yes_land_reform_desc;Redistribution of land ownership can improve agricultural and mining efficiency
admin_reform;Administrative Reform
admin_reform_l;Administrative Reform
no_admin_reform;No Administrative Reform
yes_admin_reform;Administrative Reform
no_admin_reform_desc;No administrative reform
yes_admin_reform_desc;Our administrative institutions are both modern and efficient
finance_reform;Financial Reform
finance_reform_l;Financial Reform
no_finance_reform;No Financial Reform
yes_finance_reform;Financial Reform
finance_reform_two;International Debt
no_finance_reform_desc;No financial reform
yes_finance_reform_desc;Financial reform
finance_reform_two_desc;We can now lend to other nations
education_reform;Education Reform
education_reform_l;Education Reform
no_education_reform;No Education Reform
yes_education_reform;Reform the system
no_education_reform_desc;No education reform
yes_education_reform_desc;Our nation has organized basic education
transport_improv;Transportation System
transport_improv_l;Transportation System
no_transport_improv;No Improvement
yes_transport_improv;Improved
no_transport_improv_desc;The transportation system is outdated and backward
yes_transport_improv_desc;Transportation system modernized
pre_indust;Early Industry
pre_indust_l;Early Industry
no_pre_indust;Stagnation
yes_pre_indust;Industrial Development
no_pre_indust_desc;We do not need industry
yes_pre_indust_desc;Build some basic factories with the help of foreign advisors. Could this be the prelude to an Industrial Revolution?
industrial_construction;Industrial Construction
industrial_construction_l;Industrial Construction
no_industrial_construction;No Industrial Construction
yes_industrial_construction;Industrial Construction
no_industrial_construction_desc;No advanced factories
yes_industrial_construction_desc;Foreign advisors help us build more advanced factories
foreign_training;Training Methods
foreign_training_l;Training Methods
no_foreign_training;Local Training Methods
yes_foreign_training;Foreign Training Methods
no_foreign_training_desc;The army trains according to traditional methods
yes_foreign_training_desc;The army is trained by foreign military advisors or according to foreign techniques.
foreign_weapons;Foreign Weapons
foreign_weapons_l;Foreign Weapons
no_foreign_weapons;Local Weapons
yes_foreign_weapons;Imported Weapons
no_foreign_weapons_desc;Traditional weapons
yes_foreign_weapons_desc;This is my big weapon!
military_constructions;Military Construction
military_constructions_l;Military Construction
no_military_constructions;Simple Fortifications
yes_military_constructions;Advanced Fortifications
no_military_constructions_desc;No fortifications
yes_military_constructions_desc;Efficient fortifications
foreign_officers;Officer Training
foreign_officers_l;Officer Training
no_foreign_officers;Local Officer Training
yes_foreign_officers;Foreign Officer Training
no_foreign_officers_desc;Local officers command troops
yes_foreign_officers_desc;Our army is now the best in the world
army_schools;Army Training
army_schools_l;Army Training
no_army_schools;Improvisation
yes_army_schools;Army Schools
no_army_schools_desc;We learn on the battlefield
yes_army_schools_desc;Officers are fully trained before leading soldiers into combat
foreign_naval_officers;Naval Officers
foreign_naval_officers_l;Naval Officers
no_foreign_naval_officers;Local Naval Officers
yes_foreign_naval_officers;Foreign Naval Officers
no_foreign_naval_officers_desc;Local naval officers command warships
yes_foreign_naval_officers_desc;Western advisors assist our captains
naval_schools;Naval Training
naval_schools_l;Naval Training
no_naval_schools;Improvisation
yes_naval_schools;Naval Schools
no_naval_schools_desc;Learn by doing
yes_naval_schools_desc;Study theory first
foreign_navies;Foreign Naval Vessels
foreign_navies_l;Foreign Naval Vessels
no_foreign_navies;Domestic Vessels
yes_foreign_navies;Imported Vessels
no_foreign_navies_desc;Locally manufactured vessels
yes_foreign_navies_desc;We import powerful vessels of Western design
cut_down_to_size_boxer;Suppress the Boxers
cut_down_to_size_boxer_desc;Force another?Y nation?W to disarm and pay reparations to our nation
NUMBER_OF_REBELS_READY;?Y Brigades Ready to Join the Rebellion
NUMBER_OF_REBELS_ACTIVE;?Y Brigades Already in Rebellion
TECH_YEAR_MODIFIER;Cost modifier from time: $VAL$
ECONOMICREFORM_SETUP;When an economic reform is enacted
ECONOMICREFORM_HEADER;Political News from $COUNTRY$
ECONOMICREFORM_1;$COUNTRY$ enacts economic reform
ECONOMICREFORM_2;$MONARCHTITLE$, our nation has enacted
ECONOMICREFORM_3;$CATEGORY$$ISSUE$
ECONOMICREFORM_4;*
ECONOMICREFORM_5;*
ECONOMICREFORM_6;*
ECONOMICREFORM_LOG;Our nation has enacted $CATEGORY$$ISSUE$.
ECONOMICREFORM_BTN1;OK
ECONOMICREFORM_BTN2;OK
ECONOMICREFORM_BTN3;Go to
ECONOMICREFORM_MAP;*
ECONOMICREFORM_BAD_SETUP;When an economic reform is revoked
ECONOMICREFORM_BAD_HEADER;Political News from $COUNTRY$
ECONOMICREFORM_BAD_1;$COUNTRY$ revokes economic reform
ECONOMICREFORM_BAD_2;$MONARCHTITLE$, our nation has revoked
ECONOMICREFORM_BAD_3;$CATEGORY$
ECONOMICREFORM_BAD_4;from $OLD$ to $ISSUE$.
ECONOMICREFORM_BAD_5;*
ECONOMICREFORM_BAD_6;*
ECONOMICREFORM_BAD_LOG;Our nation has revoked $CATEGORY$$OLD$, to $ISSUE$.
ECONOMICREFORM_BAD_BTN1;OK
ECONOMICREFORM_BAD_BTN2;OK
ECONOMICREFORM_BAD_BTN3;Go to
ECONOMICREFORM_BAD_MAP;*
MILITARYREFORM_SETUP;When a military reform is enacted
MILITARYREFORM_HEADER;Political News from $COUNTRY$
MILITARYREFORM_1;$COUNTRY$ enacts military reform
MILITARYREFORM_2;$MONARCHTITLE$, our nation has enacted
MILITARYREFORM_3;$CATEGORY$$ISSUE$
MILITARYREFORM_4;*
MILITARYREFORM_5;*
MILITARYREFORM_6;*
MILITARYREFORM_LOG;Our nation has enacted $CATEGORY$$ISSUE$.
MILITARYREFORM_BTN1;OK
MILITARYREFORM_BTN2;OK
MILITARYREFORM_BTN3;Go to
MILITARYREFORM_MAP;*
MILITARYREFORM_BAD_SETUP;When a military reform is revoked
MILITARYREFORM_BAD_HEADER;Political News from $COUNTRY$
MILITARYREFORM_BAD_1;$COUNTRY$ revokes military reform
MILITARYREFORM_BAD_2;$MONARCHTITLE$, we have revoked
MILITARYREFORM_BAD_3;$CATEGORY$
MILITARYREFORM_BAD_4;from $OLD$ to $ISSUE$.
MILITARYREFORM_BAD_5;*
MILITARYREFORM_BAD_6;*
MILITARYREFORM_BAD_LOG;We have revoked $CATEGORY$$OLD$, to $ISSUE$.
MILITARYREFORM_BAD_BTN1;OK
MILITARYREFORM_BAD_BTN2;OK
MILITARYREFORM_BAD_BTN3;Go to
MILITARYREFORM_BAD_MAP;*
MODIFIER_CIVILIZATION_PROGRESS;Civilization Progress
SUPPRESSION_TECH;Suppression Efficiency
REFORM_RESEARCH_COST;Technology Point Cost:?Y$COST$?!
POLITICS_CIVILIZE;Westernization
CIVILIZE_DESC;Fully adopt Western ideas. This will allow us to acquire advanced technology from the dominant power in our sphere.
CIVILIZE_NO_MASTER_DESC;Fully adopt Western ideas. This will allow us to acquire advanced technology from nations around the world.
INFLUENCE_RELATION;Relations
NO_CIV_PROGRESS;Our nation has made no progress towards Westernization; we need to pursue military or economic reforms.
RESEARCH_POINTS_LABEL;Research Points:
MODIFIER_UNCIV_ECONOMIC;Economic Reform Cost
MODIFIER_UNCIV_MILITARY;Military Reform Cost
MODIFIER_SELF_UNCIV_ECONOMIC;Economic Reform Cost
MODIFIER_SELF_UNCIV_MILITARY;Military Reform Cost
MODIFIER_LAND_UNIT_START_EXPERIENCE;Land Unit Starting Experience
MODIFIER_NAVAL_UNIT_START_EXPERIENCE;Naval Unit Starting Experience
MODIFIER_ADMINISTRATIVE_EFFICIENCY;Administrative Efficiency
ARMY_TECHNOLOGY_LEVELS;Army Technology: $VAL$/$MAX$
NAVY_TECHNOLOGY_LEVELS;Navy Technology: $VAL$/$MAX$
MODIFIER_TARIFF_EFFICIENCY;Tariff Efficiency
MODIFIER_MAX_LOAN_AMOUNT;Maximum Loan Amount
PROD_YOUR_CURRENT_BUDGET;Your Current Budget:
PROD_YOUR_INVESTMENT;Your Investment:
MODIFIER_LAND_ATTACK;Land Attack
MODIFIER_NAVAL_ATTACK;Naval Attack
MODIFIER_LAND_DEFENSE;Land Defense
MODIFIER_NAVAL_DEFENSE;Naval Defense
free_press_promised;Freedom of the Press Promised
yes_meeting_promised;Freedom of Assembly Promised
trade_unions_promised;Trade Union Formation Promised
free_press_promised_desc;We have promised the people freedom of the press, and they hope we will fulfill this promise soon.
yes_meeting_promised_desc;We have promised the people freedom of assembly, and they hope we will fulfill this promise soon.
trade_unions_promised_desc;We have promised the people the right to form trade unions, and they hope we will fulfill this promise soon.
recent_safari;Recent Safari Trip
recent_safari2;Too Many Safari Trips
recent_safari_desc;We have recently been on a safari trip
recent_safari2_desc;Too many safari trips recently
unciv_reactionary_rebels_title;Reactionaries
unciv_reactionary_rebels_name;$COUNTRY_ADJ$ Reactionaries
unciv_reactionary_rebels_desc;Reactionary rebels demand to live forever according to ancestral rites and reject the introduction of Western customs.
unciv_reactionary_rebels_army;$COUNTRY_ADJ$ Rebels
SET_ECONOMIC_REFORM_EFFECT;Selected Economic Reform:?Y$NAME$?W\n
SET_MILITARY_REFORM_EFFECT;Selected Military Reform:?Y$NAME$?W\n
NATIONALIZE_INDUSTRY_EFFECT;Nationalize
DIPLOMACY_ALMOST_WESTERN_NATION_STATUS;Partially Westernized Nation
DIPLOMACY_PRIMITIVENATION_STATUS;Primitive Nation
UNCIV_CANT_RESEARCH;Technology research requires civilization
TB_NATIONALFOCUS_CULTURE;?Y$NUM$?W nations with primary or accepted cultures give us?Y$FOCUS$?W national focus
meiji_restoration_boost;Meiji Restoration
meiji_restoration_boost_desc;Restore in the name of the Emperor!
OTHER_PORT;We cannot enter this naval base
MODIFIER_UNCIV_ECONOMIC_UH;Upper House Support
MODIFIER_UNCIV_MILITARY_UH;Upper House Support
MOVEMENT_RADICALISM_ADJUST;?Y$MOVEMENT$?! Progress: $AMOUNT$
MILITARY_REFORM_COST_DESC;Cost modifier for military reform:
ECONOMIC_REFORM_COST_DESC;Cost modifier for economic reform:
MAPMODE_19;Level of Civilization
CHI_absolute_monarchy;Great Qing Empire
EVTOPTB23212;Keep looking up!
LOSE_CIVILIZED_EFFECT;Our nation is considered?Y Uncivilized?W\n
french_growth_nerf;French Population Decline:
french_growth_nerf_desc;Our population growth rate has declined:
EVTNAME37226;Population Decline
EVTDESC37226;France was the most populous country in Europe for a long time. But for most of the 19th and 20th centuries, France's birth rate was startlingly low. The reasons for this phenomenon are unclear. By the end of the Victorian era, France had been surpassed in population by Russia, Germany, Britain, and Italy.
EVTOPTA37226;A great setback!
nationalize_title;Expropriate the Means of Production!
nationalize_desc;Those foreign hyenas can no longer exploit the sweat and blood of our people for their own enrichment! The time has come to expropriate all foreign property for the benefit of the nation!
EVTNAME90950;Expropriate Assets!
EVTDESC90950;The ungrateful $FROMCOUNTRY$ government has expropriated our investments and nationalized them!
EVTOPTA90950;Intolerable!
EVTOPTB90950;Let them go
MOVEMENT_RADICALISM;Movement Radicalism
MOVEMENT_RADICALISM_DESC;This reflects how much the people supporting the movement trust the political process of their own nation to meet their wishes. A movement with too high a value (?Y100?! will escalate into an uprising if not suppressed in time
NUMBER_MOVEMENT_SUPPORTERS;Number of Supporters
NUMBER_MOVEMENT_SUPPORTERS_DESC;The larger the movement, the harder it is to suppress. If you pass a reform with low support, all movements with higher support will become more radical
PRODUCTION_CLOSE_FACTORY_BECAUSE_FOREIGN_TOOLTIP;Cannot close foreign factory\n
CAN_NATIONALIZE;Has foreign investors
IS_NOT_IN_A_SPHERE;Not in a sphere of influence
ACTIVATE_TECH_EFFECT;Activate Technology:?Y$NAME$?!
TECHNOLOGYVIEW_NO_RESEARCH_UNCIV_TOOLTIP;Only civilized nations can research advanced technology. By reforming through the?Y Political Panel?!, you can acquire basic technology and begin independent research.
RELATION_BETWEEN;Relations between $COUNTRY1$ and $COUNTRY2$: $RELATION$
ADD_RELATIVE_INCOME_EFFECT;Treasury: $VALUE$?!
CORRUPTION_LESS_THAN;Corruption less than
CORRUPTION_MORE_THAN;Corruption more than
MOVEMENT_RADICALISM_FROM_SIZE;People Support: $VAL$
dar_al_funun;Elite School
dar_al_funun_desc;Persia's first modern university
BOL_2305;Atacama
BOL_2314;Potosi
serfdom_not_abolished;Serfdom not abolished:
XIN;Xinjiang
YNN;Yunnan
GXI;Guangxi
MCK;Manchuria
LEADERSHIP;Leadership
XBI;Gansu
EVTNAME23213;At the Mountains of Madness
EVTDESC23213;Our expedition to the Antarctic has awakened something most terrible. Within the ruins of a great alien city, they discovered strange creatures that seemed both plant and animal, which once ruled the earth in ancient times. They are filled with indescribable hunger and are returning to the human world.
EVTOPTA23213;It seems ominous...
