#Powered_by_ParaTranz
EVTNAME5002;Stanley Cup
EVTOPTA14200;Sounds too expensive
EVTOPTB14200;Can't they fight without weapons?
EVTOPTC14200;We might be able to do something about this
EVTOPTD14200;Soldiers need weapons
EVTOPTE14200;Their weapons need to be updated
EVTNAME14210;Wave of Anti-War Sentiment
REMOVE_EVTNAME14210_sub;Whole $STATE$ is concerned about "give peace a chance"
EVTDESC14210;Anti-war views have some influence in $STATE$. Whoever can harness this influence in the upcoming election will brighten their electoral prospects. The only question is that pre-election debate will influence anti-war sentiment, which will largely affect their support for candidates.
EVTOPTA14210;Peace forever!
EVTOPTB14210;Violence leads nowhere!
EVTOPTC14210;Civil governance over military force
EVTOPTD14210;The army needs guns, not gossip.
EVTOPTE14210;Perhaps violence is the answer to everything.
EVTNAME10270;Free Student Union
EVTDESC10270;"We, the younger generation of $COUNTRY$, gather to restore ancient freedoms. To make $COUNTRY$ the second Greece."\n\nInspired by the ideals of freedom, antiquity, and romanticism, as well as by the nation, radical students at the National University have formed a student association. They published a propaganda document calling for reform of electoral methods and advocating the revival of ancient and traditional freedoms of $COUNTRY$. Due to the rapid spread of these brave new ideas, the association quickly grew into a large mass organization on campus.
EVTOPTA10270;They must be allowed to express their views
EVTOPTB10270;Mainly, can we stop doing these pointless things?
EVTNAME10280;Re-reading the Classics
EVTDESC10280;"When I read the works of Pericles of Athens, I'm always surprised by the advancement of ancient society. Looking back, thousands of years later, we are less free than people of that era."\n\nThe 19th century saw a renewed interest in ancient works. Many ancient societies, such as Rome and Greece, became sources of inspiration for emancipators, who searched ancient examples and experiences for common freedom traditions they wished to implement in modern society. Having some classical works reprinted by a local reform club was fashionable among the educated elite of $COUNTRY$.
EVTOPTA10280;Honestly, don't you have better things to do?
EVTOPTB10280;It's good to see the classics getting attention. But, like Socratic dialogues, is it for anyone?
EVTNAME10290;Free Writer
EVTDESC10290;"He wept because he saw this suffering people refuse to breathe the ancient fresh air — the air of freedom and the birthright of $COUNTRY$'s free sons"\n\nOne of our nation's most respected authors recently published a book. Critics call it the harshest critique of $COUNTRY$'s political system among books that passed through publication review. The book takes a radical view of liberalism and opposition to the old monarchy, while vigorously defending the rights of the people and the republic.
EVTOPTA10290;Best to ensure it's most popular locally?
EVTOPTB10290;Throughout all $COUNTRY$, such a voice must be allowed!
EVTNAME10300;Chamber of Commerce Protest
EVTDESC10300;In some part of our nation, the Chamber of Commerce has filed angry protests with the local government, complaining that government economic intervention has harmed local trade and distorted the basic principles of the free market. Influenced by a series of Enlightenment works on free trade and non-interventionism from French physiocrats and Scottish Enlightenment thinkers, the Chamber of Commerce demands a change in government policy so they can operate independently in regulating trade as they see fit. If their demands are not met, they threaten to refer the matter to the national level.
EVTOPTA10300;Perhaps some minor adjustments to the local situation can be considered
EVTOPTB10300;I reject the political demands of the stubborn elite
EVTNAME10320;An Economics Paper
EVTDESC10320;A liberal professor from our university published an economics pamphlet. The pamphlet received significant attention from liberals in $COUNTRY$ and abroad. Although short, it is profound, particularly in its compelling arguments for the merits of the free market and laissez-faire. The author is often compared to David Ricardo and Adam Smith. We can condemn this as liberal propaganda that is erroneous in its viewpoints, but looking back, does it have any merit?
EVTOPTA10320;Obviously, we must be proud of this publication.
EVTOPTB10320;Of course, this is just propaganda to exploit the working class.
EVTNAME10330;Chartist Assembly
EVTDESC10330;Members of the $COUNTRY_ADJ$ Chartist Club have organized an assembly in some part of our nation, calling for the most basic voting rights for the broader populace in electoral law. Although ostensibly calm, the assembly could spiral out of control at any moment. Police are on standby, ready to intervene at any time, and some of them seem more eager than others.
EVTOPTA10330;Let the police control this assembly
EVTOPTB10330;As the revolutionary situation develops, let these blue boys go their own way.
DIPLOMACY_INFAMY;Infamy: ?Y$VALUE$?W
WARDIALOG_INFAMY;$VALUE$ infamy
WARDIALOG_PRESTIGE;$VALUE$ prestige
WARDIALOG_PEACECOST;Peace requires $VALUE$
WARDIALOG_SELECT_COUNTRY;Select a ?Y nation?W from the list on the right
WARDIALOG_SELECT_STATE;Select a ?Y region?W from the list on the right
status_quo_desc;Intervene in a war without helping either side achieve their ?Y war goals?W
conquest_desc;Annex a ?Y nation?W with a single region or an ?Y uncivilized nation?W
add_to_sphere_desc;Bring another nation into our ?Y sphere of influence?W
take_from_sphere_desc;Pull a nation from another nation's ?Y sphere of influence?W into our own
acquire_core_state_desc;Seize a ?Y region?W with our ?Y core provinces?W from a hostile nation
acquire_state_desc;Seize a ?Y region?W from a hostile nation
place_in_the_sun_desc;Seize a ?Y colonial region?W from a hostile nation
cut_down_to_size_desc;Force another ?Y nation?W to disarm and pay reparations to our nation
free_peoples_desc;Liberate a ?Y region?W from oppressors
protect_minor_desc;Select a ?Y region?W from the list on the right
humiliate_desc;Demonstrate our military strength by humiliating ?Y another nation?W, thereby increasing our ?Y prestige?W and lowering theirs
po_disarmament2;Ban armament expansion within ?Y$YEARS$?W years and reduce existing forces by ?Y$PERCENTAGE$%?W
po_reparations2;Must pay ?Y$PERCENTAGE$%?W of tax revenue annually for ?Y$YEARS$?W years
po_reduce_prestige2;?Y Prestige?W reduced by ?R$VALUE$?W
POP_DETAILS_UNEMPLOYED;Unemployment rate:
POP_DETAILS_POPCHANGES;Population changes
repeal_the_corn_laws_title;Repeal the Corn Laws
repeal_the_corn_laws_desc;The Corn Laws were a series of unpopular bills, one of the few representatives of British mercantilist policy, designed to protect British agriculture from cheap foreign grain, which naturally affected the ability of the British lower classes to obtain cheap food. Due to agricultural failures in 1845 and the subsequent Irish potato famine crisis, the Corn Laws were finally repealed in 1846. The repeal of this act marked Britain's entry into a prolonged period of free trade that lasted for much of the 19th century.
corn_laws_repealed;Corn Laws Repealed
corn_laws_repealed_desc;The Corn Laws, a series of unpopular regulations, have been repealed.
crown_empress_of_india_title;Empress of India
crown_empress_of_india_desc;With the closure of the East India Company and the collapse of the Mughal Empire, Queen Victoria obtained the title of Empress of India in 1857. The person generally credited with proposing this title was the then Prime Minister Benjamin Disraeli. With the establishment of the British Indian colonial government, the glorious rise of the sun never setting empire was unquestionable!
svenska_pansarbats_foreningen_title;Swedish Armored Ship Association
svenska_pansarbats_foreningen_desc;The Swedish Armored Ship Association was founded in 1912 for the purpose of raising funds to build coastal defense cruisers for the Swedish Navy. This project received tremendous support from the people, enabling the organization to present 15 million Swedish kronor to King Gustaf V for the construction of the Royal Swedish Navy's ship in 1915, less than a hundred days after its founding.
OUTLINER_QUEUED;Units in queue:
BUDGET_NO_LOANS_TO_REPAY;We have no loans to repay
POPDETAIL_NO_REBEL;No rebellious tendencies
PRODUCTION_STOCKPILE_LACK_COST;Lack of stockpile resources:
DIPLOMACY_AT_WAR_WITH;At war with:
COLONIZE_CLOSEST_BASE_TO_FAR_SPEC;Closest naval base is at ?Y$PROV$?W, still too far\n(Naval distance: need ?R$NEED$?W/?Y$CURR$?W)
COLONIZE_CLOSEST_BASE_SPEC;Closest naval base is at ?Y$PROV$?W\n(Naval distance: need ?G$NEED$?W/?Y$CURR$?W)
BUILDING_INFRASTRUCTURE;Infrastructure: ?Y$VALUE$?W
UNITVIEW_POP_INFO;?Y$TYPE$?W from ?Y$LOC$?W
UNITVIEW_POP_INFO_FACTION;Supports ?Y$FACTION$?W
SCHOOL_EFFECT;Research school changed to ?Y$NAME$?W!\n
IS_NOT_MOB;Not mobilized.
IS_MOB;Mobilized
enact_female_suffrage_title;Allow Women to Vote
enact_female_suffrage_desc;Women's suffrage gradually gained recognition in Western society during the 19th century. This idea was first advocated by liberal thinkers, such as Mary Shelley and John Stuart Mill in England. This movement gradually developed over time and by the end of the century had grown into an independent ideology: feminism. Women's experiences in factories and other positions previously considered male-only during World War I became a key element in their struggle for the right to work, vote, and equality with men in other social spheres.
female_suffrage;Women's Suffrage
female_suffrage_desc;Our nation respects gender equality and allows women to vote in general elections.
SOCIAL_DESC2;Social expenditures are used to implement enacted social reforms. Their amount depends on our administrative efficiency. ?W
support_ruhr_industrialism_desc;A massive military-industrial complex has emerged in the Ruhr industrial region, with some industrial magnates such as the Krupp family collaborating closely with the Prussian military and government, greatly enhancing Prussia's military and industrial capabilities. Voltaire once said Prussia was "an army with a state," and this description fits the Ruhr region perfectly.
EVTNAME17020;World Anti-Slavery Conference
EVTDESC17020;The issue of women's suffrage has become a focal point at the anti-slavery conference held in $CAPITAL$. Among the delegates from various nations were some women, so an item on the agenda required that women delegates be denied the right to vote before the conference officially convened. The separate seating of male and female delegates also became a focus. Growing signs indicate that women of $COUNTRY$ and the entire Western world are striving to participate in various social activities.
EVTOPTA17020;This is clearly making something out of nothing
EVTOPTB17020;Excluding women from public activity is what's making something out of nothing
HAVE_INDUSTRIAL_SCORE_MORE_THAN;Industrial score higher than:
EVTNAME17030;Working Women
EVTDESC17030;As the war drags on and more men are called to the battlefield, some important industrial sectors suggest temporarily employing women in factories. This policy has already proven effective in small-scale trials before — their work efficiency is no worse than men's, and they are better adapted to some of this work.
EVTOPTA17030;We need all available hands
EVTOPTB17030;Absolutely not!!
EVTNAME17040;I Think the Major is a Feminist
EVTDESC17040;"My conclusion is that while some professions are indeed unsuitable for women, their presence in various workplaces will not pose any threat to social order whatsoever."\n\nA prominent military officer published an article in a major newspaper of $COUNTRY$. Women working was considered by many as the greatest mistake in recent years. The colonel supports women working in various positions and believes those who oppose it only prove that women working has become an unshakable fact
EVTOPTA17040;Working conditions for women definitely need regulation
EVTOPTB17040;This guy is definitely going nowhere in the $COUNTRY_ADJ$ army
EVTNAME17050;Parade in the Mud
EVTDESC17050;"The weather in $CAPITAL$ is terrible for us, everywhere is mud. The parade in the mud got its name from this."\n\nA committee on women's suffrage organized a parade this week, attracting about 3000 women of various professions, including textile workers, lawyers, artists and many others, gathering on the streets of $CAPITAL$ to demand freedom and voting rights. Considering the weather, this was an effort comparable to men's.
EVTOPTA17050;Let's stand aside
EVTOPTB17050;We must understand and support them
EVTOPTC17050;This pointless activity has gone on too long
TRIGGER_STATE;Region where located
EVTNAME17060;Slim Propagandists
EVTDESC17060;Feminists campaigning in a bar in one of our provinces are becoming a laughingstock nationwide. Two women standing outside the bar with propaganda boards — appearing to be from the upper class but rather thin — were not only considered ridiculous but also disliked by some lower-class women, because these high-and-mighty people would only condescend to sophistry.
EVTOPTA17060;Never mind, this is freedom of speech
EVTOPTB17060;Perhaps people should listen more to these ladies' viewpoints?
EVTNAME17070;Feminism and Women's Suffrage
EVTDESC17070;Like many ideologies, early feminists had their own different opinions and perspectives. In Britain, the split between NUWSS and NSWRV is one example. Feminists in $COUNTRY$ are also divided due to their differing views.
EVTOPTA17070;We should support the conservative faction
EVTOPTB17070;Ah, reactionism is the best
EVTNAME17080;Married Women's Property Protection Movement
EVTDESC17080;"Married women have no personal property. Law and marriage treat her property as one with her husband's. We want to change this — we want married women to have their rightful share of property and let the law distinguish between the property of both spouses."\n\nFeminists in $COUNTRY$ have begun a movement for property rights, striving for women's rights.
EVTOPTA17080;...Next, how about the stock market?
EVTOPTB17080;This human rights movement should be carried forward
EVTNAME17090;Flyer Distribution Campaign
EVTDESC17090;"We've traveled throughout the entire city. My girls and I spread out to every single block. It wasn't easy work, but it was an unforgettable happy time."\n\n$COUNTRY_ADJ$ feminists are distributing flyers extensively locally to gain public support, striving for their property rights, marriage rights, and voting rights.
EVTOPTA17090;I don't know what the local residents will think of them, I really don't know
EVTOPTB17090;What are the parliamentarians doing?
EVTNAME17100;Female Education
EVTDESC17100;"Sir, if you're disturbed by the 156th student wearing a bonnet, I'd be happy to remove my headdress and sit quietly at the back of the classroom, but I will never voluntarily give up my class."\n\nAt $COUNTRY_ADJ$ University, controversy has arisen due to the presence of women. A woman was admitted to our institution of higher learning, which has greatly unsettled local conservatives.
EVTOPTA17100;Kick that show-off young lady out of the academy!
EVTOPTB17100;Would our learned professors really be displeased by this?
EVTNAME17110;The Second Sex
EVTDESC17110;"Although many women have enthusiastically tried to express themselves, it is very difficult."\n- Simone de Beauvoir, The Second Sex\n\nA famous $COUNTRY_ADJ$ suffragist published a feminist book, which has attracted the attention of women at home and abroad.
EVTOPTA17110;Recommend this book
EVTOPTB17110;Attack this book
EVTNAME17120;Letter-Writing Campaign
EVTDESC17120;"I call on you, sisters, to start writing letters — to members of parliament, to regional representatives, to your grandmothers, to anyone! These letters will show we have the same power as men!"\n\n$COUNTRY_ADJ$ feminists have begun a letter-writing campaign. Their goal is for every member of parliament to receive a thousand letters per year until women's suffrage is passed. This campaign has already achieved considerable results.
EVTOPTA17120;I think this will have some influence in parliament
EVTOPTB17120;I think this will have considerable influence among the people
EVTNAME17130;Lawless Feminists
EVTDESC17130;Four smashed windows, attempted arson, and attacks on two police officers... The officers were not physically injured, but their pride might not be so sure. "What on earth made you do this?"\n\nA radical $COUNTRY_ADJ$ feminist organization launched a violent march to get the government to pay attention to their issues. Local conservatives see this as damage to the national will and the beginning of the end of Western civilization.
EVTOPTA17130;OK
EVTNAME17140;Feminist Hunger Strike!
EVTDESC17140;A $COUNTRY_ADJ$ feminist imprisoned for violent marches has begun a two-week hunger strike in prison, protesting the unequal treatment of women in $COUNTRY_ADJ$. The protest has gained increasing attention and support under the slogan "Let Women Vote," and local politicians have begun discussing this. Now almost every newspaper on the streets is paying extreme attention to this.
EVTOPTA17140;I suggest the prison guards force-feed that madwoman
EVTOPTB17140;Or just let her go
EVTNAME17150;Cat and Mouse Act
EVTDESC17150;(This so-called) Cat and Mouse Act was passed in Britain in 1912 to avoid gaining public sympathy for suffragettes on hunger strike. The basic content is that a prisoner can be temporarily released for any serious health reason and taken back into custody after recovering, so the government doesn't have to bear the accusation of persecuting hunger strikers. A similar act was passed in one of our provinces to treat hunger strikers this way.
EVTOPTA17150;Pressure the central government to cancel this act
EVTOPTB17150;Ignore it
EVTNAME17160;Research Group
EVTDESC17160;A research group composed of feminist supporters has gradually become well-known among international feminists over the past few years. The $COUNTRY_ADJ$ college where the research group is located has published several papers on philosophy, politics, and economics focusing on women at this time.
EVTOPTA17160;Let's be proud of this
EVTOPTB17160;Never associate me with this disgraceful thing
EVTNAME17170;International Feminism
EVTDESC17170;When feminists in $COUNTRY$ achieved their goals, many other nations still lacked a democratic system that kept pace with the times and provided equality for everyone. Raising this point in international conferences to other nations shouldn't hurt, or it could be used to divert the attention of the domestic people.
EVTOPTA17170;I don't think they'll accept this calmly...
EVTOPTB17170;At least we're better than those people...
STATE_NONCORES;Non-core provinces of the region: ?R$VALUE$?!W
DIPLOMACY_CANNOT_SET_PRIO_VASSAL;Our nation cannot influence the ?Y satellites?W or ?Y dominions?W of other nations
DIPLOMACY_NEGOTIATE_VASSAL;Our nation cannot conduct diplomacy with ?Y satellites?W or ?Y dominions?W
DIPLOMACY_NEGOTIATE_WE_VASSAL;If our nation is a ?Y satellite?W or ?Y dominion?W, it cannot conduct diplomacy with other nations
PW_OPEN_POPSCREEN;View demographics of ?Y$LOC$?W
COLONIAL_EDUCATION;Colonial: $VAL$
EVTNAME17500;Labor Union
EVTDESC17500;"Never, we shall never go!"\n\nOne of our states has become a stronghold for socialists in recent months since a labor union was formed from a local workshop. That union set an example for workers, and now unions have sprung up in every factory like mushrooms after rain. Some local notables have petitioned the central government to send troops to ban these unions.
EVTOPTA17500;We will never let the military attack the people they are supposed to protect
EVTOPTB17500;I think we should have enough manpower to send...
EVTNAME17510;Inflaming Assembly
EVTDESC17510;Those socialists have aggravated the already sharp labor-capital contradictions in the province and demand the formation of a national guard to escalate the situation
EVTOPTA17510;I don't recommend our people being protected by underworld
EVTOPTB17510;Anything that can stop the situation from worsening!
EVTNAME17520;Slowdown
EVTDESC17520;One of our factories has become the target of a non-violent but costly slowdown strike, and local socialists are believed to be the organizers behind it. The factory manager is considering dismissing all these slowdown participants.
EVTOPTA17520;Sacking workers? No problem
EVTOPTB17520;Attack these upstarts
westernize_nation_title;Accept Western Influence
westernize_nation_desc;Our nation is being increasingly impacted by Western modern civilization. In terms of modern technology, industry, and military, our long-standing traditional experience is almost useless. The influence of Western civilization has penetrated into every corner of the nation and into everyone's heart. Now our fate is in our own hands. The only way to stop the Western tide from spreading is to become like them.
the_meiji_restoration_title;Meiji Restoration
the_meiji_restoration_desc;Japanese history generally begins with Emperor Jimmu in 660 BC. Although the imperial line continues to this day, during the Edo period the emperor became a puppet, merely a spiritual symbol. Now, by restoring power to the emperor and beginning industrialization, establishing a constitution, and reforming the economy, Japan may be able to break free from the constraints of Western powers.
HAVE_MILITARY_SCORE_MORE_THAN;Military score higher than:
CIVILIZED_EFFECT;Transform into ?Y Civilized Nation?W\n
EVTNAME10000;Spring of Nations
EVTDESC10000;The tranquility of the early 19th century was broken in $YEAR$, as revolutions and liberal winds swept across the continent. The decrepit royal families could only huddle in corners trembling. The scenes of the French Revolution spread once again across the streets of Europe. Students and young people gathered under the banner of freedom for their dreams — for a free Europe
EVTOPTA10000;We will become free people like our fathers!
form_kellys_irish_brigade_title;Kelly's Irish Brigade
form_kellys_irish_brigade_desc;"Those cowardly Lincoln supporters, when will they come face our Irish Brigade?"\n\nWhile most Irish immigrants supported the Union during the Civil War, a small number joined the Confederacy, perhaps believing that the Confederate cause was as just as Ireland's independence from Britain.
EVTNAME17530;Bloody Strike
EVTDESC17530;Today our police crushed a strike launched by those troublemaking communists and revolutionaries, which greatly stimulated domestic communists and socialists. Those brainwashed local peasants have formed a fierce confrontation with tradition, order, and our government.
EVTOPTA17530;Let's hope this pointless thing doesn't happen again
EVTOPTB17530;But aren't those guys' hardships caused by the ruling class?
EVTNAME17540;Sympathetic Strike
EVTDESC17540;Workers at a machinery factory in our nation have gone on strike, pretending to be sick — either genuinely or feigning it — to attract public attention. One factory stopping production is bad enough, but worse is that large numbers of other workers have joined them, causing considerable impact on our industry. Perhaps we need to use some tough measures to stop them?
EVTOPTA17540;We have plenty of time, let's wait it out
EVTOPTB17540;Ban the newspapers reporting this news!
EVTNAME17550;$COUNTRY_ADJ$ Red Star
EVTDESC17550;A newspaper as its name suggests has been published in $CAPITAL$ — the $CAPITAL$ Red Star, mainly published by the $COUNTRY_ADJ$ Socialist Party. This newspaper reports on the lives of those in the lower strata deeply, and advocates workers' rights, union organization, democracy and freedom
EVTOPTA17550;I think they should report on the lower classes.
EVTOPTB17550;What a rag this is, used to wrap grilled fish?
EVTNAME17560;May Day March
EVTDESC17560;Red flags fluttering in the wind, people flocked to watch this large march held by socialists, communists, union members and great workers. To commemorate the demonstrators killed in the 1886 Chicago Haymarket Massacre, such marches are held annually throughout $COUNTRY$. This year's march looks particularly successful, and there's no doubt this will increase the awakening and militancy of socialists.
EVTOPTA17560;Commemorating these destroyers and murderers in my country?
EVTOPTB17560;We will naturally support this act of strengthening international worker solidarity
EVTNAME17580;Decline of the Unions
EVTDESC17580;"There's a fox in the chicken coop,\nA herd of cattle in the cornfield outside.\nThe union has collapsed,\nTheir proud red flag is torn."\n—— Steve Earle\n\nCapitalists in one of our provinces have begun using various methods to destroy unions, including hiring professional infiltrators to undermine union solidarity, in order to restore traditional order.
EVTOPTA17580;What a brilliant and delightful idea!
EVTOPTB17580;This violates the union's freedom act
EVTNAME17590;Lockout!
EVTDESC17590;When labor-capital conflicts escalated, capitalists in one of our provinces locked out factories and told workers this would continue until they stopped supporting unions. Local police supported this action and there were a series of clashes with workers around the factory premises.
EVTOPTA17590;We're already busy with trade, war, and production — I don't want to worry about worker organizations
EVTOPTB17590;Hey, that's unconstitutional!
EVTNAME17600;Black Flag Flies
EVTDESC17600;The socialist party in one of our provinces has recently begun drastic changes under the leadership of their young and dynamic leader. Although they still support some basic socialist theories like emphasizing the role of the state, they have begun to embrace radical nationalism. The black flag flies in front of the (former) socialist party headquarters, making it clear they have evolved into a new political ideology: fascism.
EVTOPTA17600;Looks interesting, keep an eye on them.
EVTOPTB17600;Let's try to moderate them.
EVTNAME17610;Blackshirts
EVTDESC17610;Fascists in one of our provinces have formed a paramilitary organization loyal only to their leader — the Blackshirts, named for their black uniforms. This is a completely new attempt in $COUNTRY_ADJ$ politics, otherwise people fear other organizations will emulate them and form their own military organizations.
EVTOPTA17610;Try to suppress and ban them
EVTOPTB17610;Leave them alone, hope they don't come looking for trouble
EVTNAME17620;Fascist Charity Kitchens
EVTDESC17620;Fascists have begun providing free food for the unemployed in the name of "protecting the vast workers of $COUNTRY_ADJ$ from the persecution of international capitalism." Many other parties, including the most powerful Liberal and Conservative Parties, criticize this as bribery of voters. However, the fascists turn a deaf ear to this.
EVTOPTA17620;They haven't broken the law, so the government shouldn't intervene
EVTOPTB17620;This is just deceiving the people — they must be stopped!
EVTNAME17630;March on $CAPITAL$
EVTDESC17630;News has reached $CAPITAL$ that the Blackshirts, along with other fascist organizations, have begun marching on $CAPITAL$ from all over the country, aiming to seize power. The military has no intention of stopping them, as many senior officers are sympathetic to the fascists. This is a severe test for the young $COUNTRY_ADJ$ democratic government.
EVTOPTA17630;Forcefully send troops to stop them!
EVTOPTB17630;What Blackshirts, I'd have Whiteshirts too!
EVTNAME17640;$COUNTRY_ADJ$ Freikorps
EVTDESC17640;Veterans disappointed with the future of capitalism and liberal democratic policy have organized a paramilitary organization called the Freikorps, aiming to protect their homeland and people. They have begun political activities, threatening several liberal politicians and occupying a place in the people's hearts.
EVTOPTA17640;Then let them go
EVTOPTB17640;Prevent them from influencing the military
EVTNAME17650;Fascist Newspaper
EVTDESC17650;Fascists founded a newspaper called the "$COUNTRY_ADJ$ Dawn" in one province, covering everything from heaven to earth, and sharply criticizing communists, socialists, liberals, conservatives, foreigners, minorities, women, homosexuals, capitalists, the mentally ill, and criminals. It has gained popular support on many viewpoints.
EVTOPTA17650;I think its readership is mainly the lower classes
EVTOPTB17650;I think its readership is mainly the middle class
EVTNAME17660;Violent Dogma
EVTDESC17660;Serious political violence has broken out in one of our provinces. Fascists attacked the local liberal party headquarters yesterday, causing three deaths and multiple injuries. Now every night, fascists, socialists, and citizen guards fight in the streets, causing great panic among local residents. Many people demand increased public security budgets to control the situation.
EVTOPTA17660;Declare martial law locally and send troops.
EVTOPTB17660;Apologize to the Liberal Party on behalf of the state, for failing to protect its citizens
EVTNAME17670;Anti-Minority Tide
EVTDESC17670;$COUNTRY_ADJ$ fascists have begun a campaign against foreigners, immigrants, and minorities. They launch hate attacks on minorities. Some cultural elites denounce this as excessive incitement and express support for minorities.
EVTOPTA17670;Condemn this activity
EVTOPTB17670;Allow them to do it
EVTNAME17680;Fascist March
EVTDESC17680;Fascists held a large march in the streets today to demonstrate their strength, wearing black and brown shirts, marching in military formation through the streets. Some cabinet members believe such uncontrolled military organizations are a potential threat and demand they be outlawed.
EVTOPTA17680;Since they want to march, let them
EVTOPTB17680;Outlaw them as an illegal organization
EVTNAME17690;Beer Hall Incident
EVTDESC17690;Word has it that fascists in one province plan an armed rebellion, setting up their headquarters in a beer hall, attempting to seize power locally. Our cabinet members are divided on how to handle this. Some believe local police can handle them, while others think troops need to be sent to suppress them. The latter, however, would gain the fascists more sympathy and support.
EVTOPTA17690;Let the police suppress them
EVTOPTB17690;Decisively send troops to suppress them
EVTNAME17700;Fascist Union
EVTDESC17700;Fascists in one of our provinces have organized an anti-socialist union, advocating what they call the "natural relationship between labor and capital." The union has greatly strengthened its power under the control of the fascist party. We can try to suppress them, but this may push workers toward the socialist union instead.
EVTOPTA17700;Outlaw them as an illegal organization
EVTOPTB17700;Let them go
carlist_rebels_title;Carlists
carlist_rebels_name;Carlists
carlist_rebels_desc;Carlism is a movement in Spain supporting traditionalism and legitimism. The Carlists were doubly threatened by liberalism in political ideology and economic relations, and were particularly hostile to those anti-clerical progressives, viewing them as mere Masonic puppets who hated the Church and tradition. They believed that only by accepting the rule of the legitimate heir, Prince Carlos, could order be restored.
carlist_rebels_army;Carlist Army
PRODUCTIONVIEW_FACTORY;?Y Factory?W
PRODUCTIONVIEW_RGO;?Y RGO?W
PRODUCTIONVIEW_ARTISAN;?Y Artisan?W
restore_mexican_empire_title;Restore Mexican Empire
restore_mexican_empire_desc;France launched a military intervention against Mexico in 1861 over its refusal to repay loans. It supported Archduke Maximilian Ferdinand of Austria, later Maximilian I, as the emperor of the restored Mexican Empire. Although the empire lasted only three years, Maximilian gained some support from the Mexican conservative class to some extent. Supporting Maximilian's claim to the Mexican throne could return Mexico to a monarchy, but this would likely carry many risks.
PROVINCE_NEXT_LEVEL;?Y Next Level:?W
AVG_STATE_BONUS2;Average Infrastructure
infrastructure;Infrastructure
AVG_STATE_BONUS_NOTHING;No Infrastructure
BUDGET_CONSUMED_MILITARY;Estimated military material consumption:
BUDGET_CONSUMED_OVERSEAS;Estimated overseas material consumption:
BUDGET_OVERSEAS_PROVINCES;Number of overseas provinces: ?Y$VALUE$?W
BUDGET_AVG_TAX_EFFICIENCY;Average administrative efficiency: ?Y$VALUE$%?W
BUDGET_AVG_TAX_EFFECT;Average effective tax: ?Y$VALUE$%?W
BUDGET_ADMIN_EFFICIENCY2;National administrative efficiency: ?Y$PERC$%?W
BUDGET_ADMIN_EFFICIENCY_DESC2;Our nation's ?Y administrative efficiency?W determines the efficiency of social reforms and tariffs. These expenditures also help with our public order.
PV_STATE_ADM_EFF;Our ?Y regional administrative efficiency?W affects our taxation and public order
PV_STATE_ADM_EFF_CURRENT;?Y$STRATA$?W effective tax: ?Y$PERC2$%?W (current tax rate setting: ?Y$PERC$%?W)
BUDGET_TARIFFS_MODIFIED;Effective tariff: ?Y$PERC$%?W
PV_CRIMEFIGHT_MAX;(Max: ?Y$PERC$%?W)
EVTNAME2500;Border Incident
EVTDESC2500;A citizen of our nation was arrested today by neighboring police on charges of espionage against defense works on the border between the two nations. The only problem with this arrest is that contrary to what the neighbor claims, the citizen was arrested on our side. The local police chief has demanded that his counterpart immediately release the $COUNTRY_ADJ$ citizen and make a formal apology to $COUNTRY$.
EVTOPTA2500;Regardless of their actions, this could be a justification for war.
EVTNAME2510;$CAPITAL$ Steamer Explodes!
EVTDESC2510;The $CAPITAL$ Steamer, a small military steamer, exploded yesterday while docked at a foreign port — the explosion occurred on the starboard midsection and the ship subsequently sank. According to military intelligence, the explosion may have been caused by an overheated boiler. But the most widespread negative reports seized this opportunity and claimed the explosion was a premeditated and aggressive act by foreign forces. Our citizens are very angry about this event, and demands for blood repayment from foreigners can be heard in discussions on the road named after the ship in $CAPITAL$.
EVTOPTA2510;We cannot allow this treacherous barbarism to go unpunished!
EVTOPTB2510;This explosion was an accident — we cannot let mobs dictate foreign policy
EVTNAME2520;Ambassador Insulted
EVTDESC2520;Our ambassador to a major nation has sent a telegram, barely concealing disappointment over the failure to conclude a bilateral extradition treaty. Apparently, our ambassador has been repeatedly snubbed by the government of that nation. During negotiations, the other side dispatched ordinary civil servants rather than government decision-makers for talks. This kind of diplomacy has been going back and forth for two months.
EVTOPTA2520;Inform them of the potential consequences of continued non-cooperation
EVTOPTB2520;Write to thank them for this period and inform them of ending negotiations.
EVTNAME2530;Colonial Incident
EVTDESC2530;A regiment from our colony recently encountered a foreign army. According to military intelligence, the foreign army crossed the border along a little-known, non-short water route directly into our colony. The report further mentions that the army was conducting a regional geological survey when it encountered our patrol, but we cannot understand what their true intentions are. The hawks in our war cabinet see this as a direct attack on $COUNTRY$'s territorial integrity and demand the execution of what they call a plan to "provoke $COUNTRY_ADJ$ anger."
EVTOPTA2530;Someone invaded, then mobilize troops — interesting!
EVTOPTB2530;I don't believe this reported truth is worth going to war over
EVTNAME2540;Merchant Harassed
EVTDESC2540;"In this regard, I'd like to talk about commercial issues. This was raised by one of my constituents. He wrote to me last month about how his goods were confiscated by customs officials at a foreign port. Similarly, I can only reiterate that further tolerance of restrictions on unrestricted free international trade will only worsen the countless problems that arise each year."\n\nA member of parliament known for his strong support of free trade gave a speech in parliament today, expressing detailed dissatisfaction with foreign forces.
EVTOPTA2540;Intolerable — strong action must be considered!
EVTNAME2550;War Mongering
