#Powered_by_ParaTranz
KEYNAME;Text
INVENTION_NEWS_TITLE_MEDIUM;Invention!
INVENTION_NEWS_MEDIUM;Scientists and engineers in $TAG_0_0$ have reportedly invented $STRING_0_1$.
INVENTION_NEWS_TITLE_SMALL;Invention!
INVENTION_NEWS_SMALL;Scientists and engineers in $TAG_0_0$ have reportedly invented $STRING_0_1$.
INVENTION_SUFFIX1;Progressing smoothly!
INVENTION_SUFFIX2;Truly a light of the future!
INVENTION_SUFFIX3;This will be our doom!
INVENTION_SUFFIX4;Good news, everyone!
INVENTION_SUFFIX5;This is the dawn of a new era!
INVENTION_SUFFIX6;Today's progress springs from yesterday's planning.
INVENTION_SUFFIX7;Let us pray it is used for good.
INVENTION_SUFFIX8;Science never sleeps!
INVENTION_SUFFIX_LONG1;But what is the cost?
INVENTION_SUFFIX_LONG2;What ideas will they come up with next?
INVENTION_SUFFIX_LONG3;It can never be surpassed.
INVENTION_SUFFIX_LONG4;They obviously plagiarized our ideas.
PARTY_NEWS_TITLE_LARGE;New Party Emerges in $TAG_0_0_UPPER$
PARTY_NEWS_LARGE;A new $STRING_0_2$ party—$STRING_0_0$—has been founded in $TAG_0_0$. "We are recruiting members and building the internal organization necessary for a modern party," said an official from within the party. They have united many disaffected political activists and malcontents from other parties. The new party announced plans to participate in parliament, intending to get their representatives elected on this platform. They claim to be optimistic about their party's future rise to power, though the odds remain slim.
PARTY_NEWS_TITLE_MEDIUM;New Party Emerges in $TAG_0_0_UPPER$
PARTY_NEWS_MEDIUM;A new $STRING_0_2$ party—$STRING_0_0$—has been founded in $TAG_0_0$. "We are recruiting members and building the internal organization necessary for a modern party," said an official from within the party. They have united many disaffected political activists and malcontents from other parties. The new party announced plans to participate in parliament.
PARTY_NEWS_TITLE_SMALL;New Party
PARTY_NEWS_SMALL;A new $STRING_0_2$ party—$STRING_0_0$—has been founded in $TAG_0_0$. They claim to be optimistic about their party's future rise to power, though the odds remain slim.
PROVINCE_NEWS_TITLE_LARGE;$TAG_0_1_UPPER$ Expansion!
PROVINCE_NEWS_LARGE;$STRING_0_0$ province now belongs to $TAG_0_1$. The $TAG_0_1_ADJ$ Foreign Minister stated that "$STRING_0_0$ is an inalienable part of $TAG_0_1$" and "$TAG_0_0$ has no claim to it; it has merely returned to its rightful owner."
PROVINCE_NEWS_TITLE_MEDIUM;$TAG_0_1_UPPER$ Expansion!
PROVINCE_NEWS_MEDIUM;$STRING_0_0$ province now belongs to $TAG_0_1$. The $TAG_0_1_ADJ$ Foreign Minister stated that "$STRING_0_0$ is an inalienable part of $TAG_0_1$"
PROVINCE_NEWS_TITLE_SMALL;$TAG_0_1$ Expansion!
PROVINCE_NEWS_SMALL;$STRING_0_0$ province now belongs to $TAG_0_1$. The $TAG_0_1_ADJ$ Foreign Minister recently could not hide his pleasure when interviewed.
RESEARCH_NEWS_TITLE_LARGE;$TAG_0_0_ADJ$ Research Complete!
RESEARCH_NEWS_LARGE;Scientists in $TAG_0_0$ have recently completed research on $STRING_0_1$. With more inventions in this field to come in the future, this breakthrough will surely bring many advantages to $TAG_0_0$.
RESEARCH_NEWS_TITLE_MEDIUM;$TAG_0_0_ADJ$ Research Complete!
RESEARCH_NEWS_MEDIUM;Scientists in $TAG_0_0$ have recently completed research on $STRING_0_1$. With more inventions in this field to come in the future, this breakthrough will surely bring many advantages to $TAG_0_0$.
RESEARCH_NEWS_TITLE_SMALL;$TAG_0_0_ADJ$ Research Complete!
RESEARCH_NEWS_SMALL;Scientists in $TAG_0_0$ have recently completed research on $STRING_0_1$.
WAR_NEWS_TITLE_LARGE;$TAG_0_0_UPPER$ Declares War on $TAG_0_1_UPPER$!
WAR_NEWS_LARGE;On $DATE_LONG_0$, $TAG_0_0$ announced that they were at war with $TAG_0_1$. When the $TAG_0_0_ADJ$ Foreign Minister was asked about the reason for the war, he explained the necessity of "$STRING_0_1$." "We only intend to recover previously lost territories unjustly seized and restore peace and stability to the region," he added. The $TAG_0_1_ADJ$ Foreign Minister also responded, saying "this illegal aggression is unbearable" and called on the international community to condemn the aggressor. May God have mercy on them.
WAR_NEWS_TITLE_MEDIUM;$TAG_0_0_UPPER$ Goes to War!
WAR_NEWS_MEDIUM;On $DATE_LONG_0$, $TAG_0_0$ announced that they were at war with $TAG_0_1$. They claimed the reason for the declaration of war was "$STRING_0_1$." "This illegal aggression is unbearable!" said the $TAG_0_1_ADJ$ Foreign Minister.
WAR_NEWS_TITLE_SMALL;$TAG_0_0_$ Declares War!
WAR_NEWS_SMALL;On $DATE_LONG_0$, $TAG_0_0$ announced that they were at war with $TAG_0_1$.
